3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,4.1,,,,,,,5.78 x 2.79 x 0.32 inches (146.9 x 70.9 x 8.19 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,2 megapixels,,,,3.5mm,,,,,,8 megapixels,,,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (6.0 Marshmallow, 5.1 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,,Wireless screen share,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 200 GB,,,,,USB 2.0,0,,1280x720 (HD),,,,,"802.11 b, g, n",7.0
,,,4.1,,"800, 1900 MHz",,,"LTE Cat 4 (150/50 Mbit/s), HSPA, HSUPA, UMTS",,5.51 x 2.76 x 0.39 inches (140 x 70 x 9.9 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,2 megapixels,"850, 1900 MHz",Yes,,3.5mm,"M4, T4",,"Bands 2, 4, 13",,,8 megapixels,Back: Plastic,3.6 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.1 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording, TTY/TDD","Tethering, Computer sync, OTA sync",,,,,,Single camera,,540 x 960 pixels,Nano SIM,"DLNA, Wireless screen share",,Accelerometer,"Earpiece, Loudspeaker",up to 200 GB,,S-LCD,,"850, 1900 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.5
,,,4.1,,,,,"LTE Cat 3 (100/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,5.50 x 2.71 x 0.36 inches (139.8 x 68.9 x 9.05),4.5 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,T3,,"Bands 2, 4, 5, 17",,,8 megapixels,,3 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.1 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording, TTY/TDD","Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,480 x 854 pixels,Nano SIM,Wireless screen share,,Accelerometer,"Earpiece, Loudspeaker",up to 2000 GB,,LCD,,"850, 1900 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",7.0
,,"for Noise cancellation, Video recording",4.1,,,Yes,"Black, Gold, Gray, Silver, Pink","LTE-A Cat 6 (300/50 Mbit/s), HSPA, HSUPA, UMTS",,5.69 x 2.74 x 0.38 inches (144.6 x 69.7 x 9.61 mm),5.0 inches,,,,,"Scratch-resistant glass (Corning Gorilla Glass 4), Ambient light sensor, Proximity sensor",,Dual LED,,4 megapixels,"850, 900, 1800, 1900 MHz",Yes,Yes,3.5mm,"M4, T4",,"Bands 1, 3, 5, 7, 8, 20, 28","Bands 38, 40, 41",,20 megapixels,Back: Aluminum,21 GB,,,None,"Notification light (Single color), Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (7.0 Nougat, 6.0 Marshmallow, 5.1 Lollipop, 5.0 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording, TTY/TDD","NFC, Infrared, Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,Splash,1080 x 1920 pixels,Nano SIM,"DLNA, Wireless screen share, MHL",,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",up to 128 GB,,S-LCD 3,,"850, 2100 MHz",USB 2.0,0,,"3840x2160 (4K UHD) (30 fps), 1920x1080 (Full HD) (60 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",9.1
,,for Noise cancellation,4.1,,,,"Gold, Gray, Brown","LTE, HSPA, HSUPA",,6.16 x 3.01 x 0.30 inches (156.5 x 76.5 x 7.54 mm),5.5 inches,,Yes,,,"Scratch-resistant glass (Corning Gorilla Glass 4), Ambient light sensor, Proximity sensor",,LED,,13 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 1, 3, 5, 7, 8, 28","Bands 38, 39, 40, 41",,20 megapixels,,,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.0 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,1440 x 2560 pixels,Nano SIM,"DLNA, Wireless screen share",,"Accelerometer, Gyroscope, Compass, Hall (for flip covers)","Earpiece, Multiple speakers",up to 2000 GB,,,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,"3840x2160 (4K UHD), 1920x1080 (Full HD) (30 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",8.4
,,,4.1,,,,"Gold, Gray, Silver","LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s",,5.94 x 2.83 x 0.38 inches (150.99 x 71.99 x 9.61 mm),5.2 inches,,,,,"Ambient light sensor, Proximity sensor",,Dual LED,,4 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,"Bands 1, 3, 5, 7, 8, 28","Bands 38, 39, 40, 41",,20 megapixels,Back: Metal,21 GB,,,"GPS, A-GPS, Glonass, BeiDou","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.0 Lollipop), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Infrared, Tethering, Computer sync, OTA sync",,,,,,Dual camera,,1440 x 2560 pixels,Nano SIM,"DLNA, Wireless screen share, MHL",2 megapixels,"Accelerometer, Gyroscope, Pedometer, Compass","Earpiece, Multiple speakers",up to 2000 GB,,S-LCD 3,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,"3840x2160 (4K UHD) (30 fps), 1920x1080 (Full HD) (60 fps), 1280x720 (HD) (120 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",9.5
,,for Noise cancellation,4.0,,,Yes,,HSDPA+ (4G) 42.2 Mbit/s,,5.97 x 2.91 x 0.33 inches (151.7 x 73.8 x 8.5),5.2 inches,,,,,"Ambient light sensor, Proximity sensor",,Dual LED,,13 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 3, 7, 8, 20",,,13 megapixels,,,,,None,"Notification light, Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.0 Lollipop, 4.4.4), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,Water,1080 x 1920 pixels,Nano SIM,"DLNA, Wireless screen share",,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",up to 128 GB,,,,"850, 900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),Yes,,,None,"802.11 a, b, g, n, dual-band",10.0
,,,4.0,,,,"Black, Gray, Blue, White",HSDPA+ (4G) 42.2 Mbit/s,,5.51 x 2.75 x 0.39 inches (139.9 x 69.8 x 9.99 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor",,,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 20, 3, 7",,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.4),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,480 x 854 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 128 GB,,,,"850, 900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",1.7
,,,4.0,,"800, 1900 MHz",,Black,"HSPA, HSUPA",,5.76 x 2.78 x 0.37 inches (146.36 x 70.6 x 9.35 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor",,Dual LED,,5 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 4, 13",,,4 megapixels,Back: Metal,,,,"GPS, A-GPS, Glonass","Notification light, Music ringtones (MP3), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Windows Phone, 8.1","Voice dialing, Voice commands, Voice recording","NFC, Infrared, Tethering, Computer sync, OTA sync",,,,,,Dual camera,,1080 x 1920 pixels,Nano SIM,"DLNA, Wireless screen share",4 megapixels,"Accelerometer, Gyroscope, Compass, Barometer","Earpiece, Multiple speakers",up to 128 GB,,,,"850, 900, 1800, 1900 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n, ac, dual-band",8.3
,,,4.0,,,,"Gray, Blue, Red, White","LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA",,5.76 x 2.78 x 0.39 inches (146.42 x 70.67 x 9.85 mm),5.0 inches,,Yes,,,"Scratch-resistant glass (Corning Gorilla Glass 3), Ambient light sensor, Proximity sensor",,LED,,5 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 8, 3, 1, 7",Bands 41,,13 megapixels,Back: Plastic,10.6 GB,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (6.0 Marshmallow, 5.0 Lollipop, 4.4.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,1080 x 1920 pixels,Nano SIM,DLNA,,"Accelerometer, Gyroscope, Compass, Barometer","Earpiece, Multiple speakers",up to 128 GB,,,,"850, 900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n, dual-band",9.7
,,,4.0,,,,,HSDPA+ (4G) 21.1 Mbit/s,,5.59 x 2.83 x 0.36 inches (142 x 71.9 x 9.15 mm),5.0 inches,,Yes,,,"Ambient light sensor, Proximity sensor",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,8 megapixels,,,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,Yes,"Gold, Gray, Silver, Pink, Blue, Red","LTE, HSDPA+ (4G) 42.2 Mbit/s",,5.76 x 2.78 x 0.37 inches (146.36 x 70.6 x 9.35 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor",,Dual LED,,5 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,"Bands 3, 7, 8, 20",,,4 megapixels,Back: Aluminum,24 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (6.0 Marshmallow, 5.0 Lollipop, 4.4.3, 4.4), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Infrared, Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Dual camera,Splash,1080 x 1920 pixels,Nano SIM,"DLNA, Wireless screen share, MHL, MirrorLink",4 megapixels,"Accelerometer, Gyroscope, Compass, Barometer","Earpiece, Multiple speakers",up to 128 GB,,S-LCD 3,,,USB 2.0,0,,"1920x1080 (Full HD) (60 fps), 1280x720 (HD) (120 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",9.7
,,,4.0,,,,"Black, Gray, Pink, Yellow, Green, Blue, Red, White","LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,6.17 x 3.10 x 0.31 inches (156.6 x 78.7 x 7.99 mm),5.5 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,5 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 20, 8, 3, 7",,,13 megapixels,,,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3, WAV), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.0 Lollipop, 4.4.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,720 x 1280 pixels,Nano SIM,DLNA,,"Accelerometer, Compass","Earpiece, Multiple speakers",up to 128 GB,,S-LCD 2,,"850, 900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",9.2
,,,4.0,,,,"Black, Green, Blue, Red, White","LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA",,5.63 x 2.78 x 0.38 inches (143.1 x 70.5 x 9.6 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,1.3 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 20, 8, 3, 7",,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,480 x 854 pixels,Nano SIM,DLNA,,Accelerometer,"Earpiece, Multiple speakers",up to 128 GB,,,,"850, 900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,,"LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,6.48 x 3.25 x 0.41 inches (164.5 x 82.5 x 10.29 mm),5.9 inches,,,,,Touch sensitive control keys,,LED,,2.1 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,"Bands 3, 7, 8, 18",,,4 megapixels,Back: Aluminum,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4.2, 4.4, 4.3), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Infrared, Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,1080 x 1920 pixels,Micro SIM,"DLNA, MHL, TV-out",,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",up to 64 GB,,S-LCD 3,,"900, 1900, 2100 MHz",USB 2.0,0,,"1920x1080 (Full HD) (30 fps), 1280x720 (HD) (60 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",9.8
,,,4.0,,,,"Black, White","HSDPA 7.2 Mbit/s, HSUPA",,5.19 x 2.61 x 0.40 inches (131.78 x 66.23 x 10.12 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor",,,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.1.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,480 x 800 pixels,Micro SIM,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 64 GB,,LCD,,"900, 2100 MHz",USB 2.0,0,,800 x 480 pixels,,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,,"LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.30 x 2.63 x 0.39 inches (134.5 x 66.7 x 9.88 mm),4.5 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass 2)",,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 18, 8, 3, 7",,,5 megapixels,,4.68 GB,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4.2, 4.2.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,540 x 960 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Multiple speakers",up to 64 GB,,IPS LCD,,"900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",7.5
,,,4.0,,,,Black,HSDPA 7.2 Mbit/s,,5.19 x 2.63 x 0.39 inches (131.8 x 66.9 x 9.9 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,1.6 megapixels,"900, 1800, 1900 MHz",,,3.5mm,,,,,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.1.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,480 x 800 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 64 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.3
,,,4.0,,,,,"LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.20 x 2.49 x 0.36 inches (132 x 63.2 x 9.25 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,1.6 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,"Bands 3, 7, 18",,,4 megapixels,Back: Aluminum,11 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4, 4.2.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,Micro SIM,DLNA,,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",,,S-LCD 3,,"900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",8.7
,,,4.0,,,,,"HSDPA 7.2 Mbit/s, UMTS",,4.24 x 2.39 x 0.47 inches (107.7 x 60.8 x 11.9 mm),3.5 inches,,,,,"Ambient light sensor, Proximity sensor",,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.0), HTC Sense UI","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,,Single camera,,320 x 480 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,,,"900, 2100 MHz",USB 2.0,0,,640x480 (VGA),,,,None,"802.11 b, g, n",6.0
,,for Noise cancellation,4.0,,,,"Black, Blue, Red, White","LTE, HSPA, UMTS",,4.96 x 2.56 x 0.35 inches (126 x 65 x 9 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,1.6 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,"Bands 17, 5, 4, 2",,,5 megapixels,,,,,"GPS, A-GPS, Glonass","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.1),"Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,Micro SIM,,,"Accelerometer, Gyroscope, Compass","Earpiece, Loudspeaker",,,S-LCD 3,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",8.0
,,,4.0,,"800, 1900 MHz",,"Black, Red, White","LTE, HSPA, UMTS",,5.41 x 2.69 x 0.37 inches (137.4 x 68.2 x 9.3 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,2.1 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,"M3, T4",,"Bands 18, 3, 7",,,4 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (5.0 Lollipop, 4.4.3, 4.4.2, 4.3, 4.2.2, 4.1.2), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, UMA (Wi-Fi Calling), Tethering, Computer sync, OTA sync, Infrared",,,,,FM,Single camera,,1080 x 1920 pixels,Micro SIM,"DLNA, Wireless screen share, MHL, TV-out",,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",,,S-LCD 3,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n, dual-band, ac",9.4
,,for Noise cancellation,4.0,,"800, 1900 MHz",,"Black, Red, White",LTE Cat 3 (100/50 Mbit/s),,5.04 x 2.63 x 0.36 inches (128 x 66.9 x 9.2 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass",,LED,,1.6 megapixels,,,Yes,3.5mm,"M3, T3",,Bands 2,,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.0.4), Samsung TouchWiz UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,480 x 800 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,S-LCD 2,,,USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n, dual-band",9.5
,,for Noise cancellation,4.0,,"800, 1900 MHz",Qi wireless charging,,"LTE Cat 3 (100/50 Mbit/s), HSPA, UMTS",,5.55 x 2.78 x 0.38 inches (141 x 70.5 x 9.73 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,2.1 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,"M3, T3",,Bands 17,,,8 megapixels,,11 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4, 4.2.2, 4.1.1), HTC Sense UI","Voice dialing, Voice commands, Voice recording, TTY/TDD","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,1080 x 1920 pixels,Micro SIM,"DLNA, MHL",,"Accelerometer, Gyroscope, Compass","Earpiece, Loudspeaker",,,S-LCD 3,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n, dual-band",8.2
,,for Noise cancellation,4.0,,,,"Black, White, Gray","LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.29 x 2.75 x 0.35 inches (134.36 x 69.9 x 8.9 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,1.6 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,"M3, T3",,"Bands 17, 4",,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.2.2, 4.1), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,Micro SIM,"DLNA, MHL",,"Accelerometer, Gyroscope, Compass","Earpiece, Loudspeaker",,,S-LCD 2,,"1700/2100, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 a, b, g, n",9.1
,,for Noise cancellation,4.0,,,,"Black, White, Gray","HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.29 x 2.75 x 0.35 inches (134.36 x 69.9 x 8.9 mm),4.7 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,1.6 megapixels,"850, 900, 1800, 1900 MHz",,Yes,3.5mm,,,,,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.2.2, 4.1), HTC Sense UI","Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,720 x 1280 pixels,Micro SIM,"DLNA, MHL",,"Accelerometer, Gyroscope, Compass","Earpiece, Loudspeaker",,,S-LCD 2,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",9.6
,,,"3.1, EDR",,"800, 1900 MHz",,"Black, Blue, Red, Gray","HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,4.74 x 2.48 x 0.40 inches (120.5 x 63 x 10.28 mm),4.0 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass",,LED,,,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,,,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Windows Phone, 8","Voice dialing, Voice commands, Voice recording","Computer sync, OTA sync",,,,,,Single camera,,480 x 800 pixels,Micro SIM,,,Accelerometer,"Earpiece, Loudspeaker",up to 32 GB,,S-LCD,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",8.8
,,,"3.1, EDR",,"800, 1900 MHz",Qi wireless charging,"Black, Yellow, Blue, Red","LTE Cat 3 (100/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.21 x 2.61 x 0.40 inches (132.3 x 66.2 x 10.1 mm),4.3 inches,,,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,"Bands 17, 4",,,8 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Windows Phone, 8.1, 8","Voice dialing, Voice commands, Voice recording","NFC, Computer sync, OTA sync",,,,,,Single camera,,720 x 1280 pixels,Micro SIM,DLNA,,"Accelerometer, Compass","Earpiece, Loudspeaker",,,S-LCD 2,,"850, 900, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 a, b, g, n, dual-band",9.3
